Nume,Prenume,Sex,Cod persoana,an,functie
Floarea,Gheorghe,M,44,2005,judecător
Floarea,Nicoleta,F,245,2005,judecător
Gaiţă ,Maria,F,46,2005,judecător
Gaspar,Gabriela,F,47,2005,judecător
Gherasim,Traian,M,49,2005,judecător
Ghermeli,Magdalena,F,50,2005,judecător
Ghiciu,Paşcu,M,51,2005,judecător
Giurgiu,Liviu,M,52,2005,judecător
Glodean,Florica,F,53,2005,judecător
Griga,Ioan,M,54,2005,judecător
Grigoraş,Nina Ecaterina,F,55,2005,judecător
Ioaniţiu,Elisabeta,F,59,2005,judecător
Ionescu,Gabriel,M,60,2005,judecător
Ionescu,Ioan,M,61,2005,judecător
Ionescu,Margareta Angela Sanda,F,62,2005,judecător
Ionescu,Costică,M,250,2005,judecător
Ionescu,Nicolae,M,251,2005,judecător
Iorgovan,Niculina,F,252,2005,judecător
Jîjîie,Corina,F,65,2005,judecător
Lazăr,Rozalia Ana,F,254,2005,judecător
Lovin,Edita,F,66,2005,judecător
Lungeanu,Viorica,F,67,2005,judecător
Lungu,Carmen Fulga Garofiţa,F,68,2005,judecător
Luţac,Gheorghiţa,F,69,2005,judecător
Luzescu,Cristina,F,70,2005,judecător
Mănescu,Alexandra,F,256,2005,judecător
Marta,Elena Daniela,F,73,2005,judecător
Mateescu,Gheorghe Ştefan,M,74,2005,judecător
Mihai,Maria Despina,F,77,2005,judecător
Motea,Aurelia,F,79,2005,judecător
Mrejeru,Teodor,M,257,2005,judecător
Neagu,Ruxandra Maria,F,259,2005,judecător
Nucă,Mihai Stănjenel,M,260,2005,judecător
Olaru,Maura,F,83,2005,judecător
Pantea,Paula,F,85,2005,judecător
Paşca Cameniţă,Victor Vincenţiu,M,86,2005,judecător
Perju,Pavel,M,264,2005,judecător
Pistol,Ştefan,M,88,2005,judecător
Popa,Rodica Aida,F,90,2005,judecător
Popa,Marin,M,265,2005,judecător
Popescu,Doina,F,91,2005,judecător
Popescu,Iuliana,F,92,2005,judecător
Popescu,Veronica Carmen,F,93,2005,judecător
Popescu ,Zenovia Mariana,F,94,2005,judecător
Preda,Joiţa,F,97,2005,judecător
Prodan,Marioara,F,98,2005,judecător
Puşoiu,Iuliana,F,99,2005,judecător
Rădulescu,Veronica,F,100,2005,judecător
Robescu,Florica,F,268,2005,judecător
Roşu,Maria,F,269,2005,judecător
Rotar,Gheorghe,M,270,2005,judecător
Săndulescu,Costmari,F,277,2005,judecător
Savin,Ana Alexandrina,F,102,2005,judecător
Sîrbu,Carmen,F,103,2005,judecător
Stanciu,Livia Doina,F,105,2005,judecător
Stancu,Lidia,F,272,2005,judecător
Stancu,Luana,F,273,2005,judecător
Stecoza,Gabriela,F,106,2005,judecător
Ştefănescu,Mariana Brânduşa,F,108,2005,judecător
Tăbârcă,Mihaela,F,110,2005,judecător
Tarcea,Cristina Iulia,F,109,2005,judecător
Teodorescu,Georgeta,F,112,2005,judecător
Teodorescu,Margareta,F,113,2005,judecător
Toacă,Dorica,F,115,2005,judecător
Toader,Camelia,F,116,2005,judecător
Vartires,Dana Iarina,F,118,2005,judecător
Vasile,Alixandri,M,119,2005,judecător
Viciu,Anca,F,120,2005,judecător
Vlad,Ion Adrian,M,278,2005,judecător
Voicescu,Gheorghe,M,274,2005,judecător
Zarafiu,Ilie,M,279,2005,judecător
Zglimbea,Luminiţa,F,123,2005,judecător
Popa,Nicolae,M,1,2005,preşedinte
Cornoiu,Dănuţ,M,30,2005,preşedinte secţia civilă şi proprietate intelectuală
Lohan,Eugenia,F,4,2005,preşedinte secţia comercială
Bîrsan,Gabriela Victoria,F,5,2005,preşedinte secţia contencios administrativ si fiscal
Pandrea,Anton,M,84,2005,preşedinte secţia penală
Bărbulescu,Lidia,F,2,2005,vicepreşedinte
Albu,Emanuel,M,6,2006,judecător
Anghelescu,Maria,F,7,2006,judecător
Aron,Mircea,M,9,2006,judecător
Barbălată,Georgeta,F,10,2006,judecător
Bărbulescu,Voica Ioana,F,11,2006,judecător
Bărcănescu ,Dragoş,M,12,2006,judecător
Belu-Magdo,Mona Lisa,F,13,2006,judecător
Bogasiu,Gabriela Elena,F,14,2006,judecător
Bordea,Adrian,M,15,2006,judecător
Brânzan,Contantin,M,17,2006,judecător
Bratu,Camelia,F,16,2006,judecător
Buta,Cristina Mădălina,F,19,2006,judecător
Buta,Gheorghe,M,20,2006,judecător
Cârcei,Elena,F,23,2006,judecător
Chioseaua,Adriana,F,24,2006,judecător
Ciontu,Ştefan,M,27,2006,judecător
Cîrstocea,Mariana,F,25,2006,judecător
Cismaru,Filoftea,F,26,2006,judecător
Ciucă,Gilica,F,28,2006,judecător
Cosma,Rodica,F,31,2006,judecător
Costiniu,Florin,M,3,2006,judecător
Curelea,Lavinia,F,32,2006,judecător
Dascălu,Ana Maria,F,33,2006,judecător
Deneş,Adriana Viorica,F,35,2006,judecător
Dragne,Angela,F,36,2006,judecător
Dragomir,Ioana,F,38,2006,judecător
Dragu,Creţu,M,39,2006,judecător
Dumitru,Magdalena,F,40,2006,judecător
Duţă,Adrian,M,41,2006,judecător
Ezer,Emilia,F,42,2006,judecător
Floarea,Elena,F,43,2006,judecător
Floarea,Gheorghe,M,44,2006,judecător
Floarea,Nicoleta,F,245,2006,judecător
Frumuşelu,Magdalena-Carmen,F,45,2006,judecător
Gaiţă ,Maria,F,46,2006,judecător
Gaspar,Gabriela,F,47,2006,judecător
Gherasim,Traian,M,49,2006,judecător
Ghermeli,Magdalena,F,50,2006,judecător
Ghiciu,Paşcu,M,51,2006,judecător
Giurgiu,Liviu,M,52,2006,judecător
Glodean,Florica,F,53,2006,judecător
Griga,Ioan,M,54,2006,judecător
Grigoraş,Nina Ecaterina,F,55,2006,judecător
Ioaniţiu,Elisabeta,F,59,2006,judecător
Ionescu,Gabriel,M,60,2006,judecător
Ionescu,Ioan,M,61,2006,judecător
Ionescu,Margareta Angela Sanda,F,62,2006,judecător
Ionescu,Nicolae,M,251,2006,judecător
Isailă,Mărioara,F,63,2006,judecător
Jîjîie,Corina,F,65,2006,judecător
Lazăr,Rozalia Ana,F,254,2006,judecător
Lovin,Edita,F,66,2006,judecător
Lungeanu,Viorica,F,67,2006,judecător
Lungu,Carmen Fulga Garofiţa,F,68,2006,judecător
Luţac,Gheorghiţa,F,69,2006,judecător
Luzescu,Cristina,F,70,2006,judecător
Măniguţiu,Nicolae,M,76,2006,judecător
Marcu ,Simona Camelia,F,71,2006,judecător
Marta,Elena Daniela,F,73,2006,judecător
Mateescu,Gheorghe Ştefan,M,74,2006,judecător
Mihai,Maria Despina,F,77,2006,judecător
Motea,Aurelia,F,79,2006,judecător
