Nume,Prenume,Sex,Cod persoana,an,functie
Cârcei,Elena,F,23,2009,judecător
Cătănoiu,Georgeta,F,22,2009,judecător
Chioseaua,Adriana,F,24,2009,judecător
Ciontu,Ştefan,M,27,2009,judecător
Cîrstocea,Mariana,F,25,2009,judecător
Cismaru,Filoftea,F,26,2009,judecător
Ciucă,Gilica,F,28,2009,judecător
Constanda,Andreia Liana,F,29,2009,judecător
Cornoiu,Dănuţ,M,30,2009,judecător
Cosma,Rodica,F,31,2009,judecător
Curelea,Lavinia,F,32,2009,judecător
Dascălu,Ana Maria,F,33,2009,judecător
David,Maria,F,34,2009,judecător
Deneş,Adriana Viorica,F,35,2009,judecător
Dragne,Angela,F,36,2009,judecător
Dragomir,Ilie Iulian,M,37,2009,judecător
Dragomir,Ioana,F,38,2009,judecător
Dragu,Creţu,M,39,2009,judecător
Dumitru,Magdalena,F,40,2009,judecător
Duţă,Adrian,M,41,2009,judecător
Ezer,Emilia,F,42,2009,judecător
Floarea,Elena,F,43,2009,judecător
Floarea,Gheorghe,M,44,2009,judecător
Frumuşelu,Magdalena-Carmen,F,45,2009,judecător
Gaiţă ,Maria,F,46,2009,judecător
Gaspar,Gabriela,F,47,2009,judecător
Gheorghe,Dumitru,M,48,2009,judecător
Gherasim,Traian,M,49,2009,judecător
Ghermeli,Magdalena,F,50,2009,judecător
Ghiciu,Paşcu,M,51,2009,judecător
Giurgiu,Liviu,M,52,2009,judecător
Glodean,Florica,F,53,2009,judecător
Griga,Ioan,M,54,2009,judecător
Grigoraş,Nina Ecaterina,F,55,2009,judecător
Iacob,Ioana,F,56,2009,judecător
Ianoşi,Carmen Minodora,F,57,2009,judecător
Ilie,Maria Carmen,F,58,2009,judecător
Ioaniţiu,Elisabeta,F,59,2009,judecător
Ionescu,Gabriel,M,60,2009,judecător
Ionescu,Ioan,M,61,2009,judecător
Ionescu,Margareta Angela Sanda,F,62,2009,judecător
Isailă,Mărioara,F,63,2009,judecător
Jidovu,Nicu,M,64,2009,judecător
Jîjîie,Corina,F,65,2009,judecător
Lovin,Edita,F,66,2009,judecător
Lungeanu,Viorica,F,67,2009,judecător
Lungu,Carmen Fulga Garofiţa,F,68,2009,judecător
Luţac,Gheorghiţa,F,69,2009,judecător
Luzescu,Cristina,F,70,2009,judecător
Măniguţiu,Nicolae,M,76,2009,judecător
Marcu ,Simona Camelia,F,71,2009,judecător
Marin,Eugenia,F,72,2009,judecător
Marta,Elena Daniela,F,73,2009,judecător
Mateescu,Gheorghe Ştefan,M,74,2009,judecător
Matei,Ionuţ Mihai,M,75,2009,judecător
Mihai,Maria Despina,F,77,2009,judecător
Moglan,Raluca,F,78,2009,judecător
Motea,Aurelia,F,79,2009,judecător
Nebela,Silvia,F,80,2009,judecător
Nestor,Beatrice Ioana,F,81,2009,judecător
Nicolae,Adina-Georgeta,F,82,2009,judecător
Olaru,Maura,F,83,2009,judecător
Pandrea,Anton,M,84,2009,judecător
Pantea,Paula,F,85,2009,judecător
Paşca Cameniţă,Victor Vincenţiu,M,86,2009,judecător
Petrişor,Nela,F,87,2009,judecător
Pistol,Ştefan,M,88,2009,judecător
Popa,Eugenia,F,89,2009,judecător
Popa,Rodica Aida,F,90,2009,judecător
Popescu,Doina,F,91,2009,judecător
Popescu,Iuliana,F,92,2009,judecător
Popescu,Veronica Carmen,F,93,2009,judecător
Popescu ,Zenovia Mariana,F,94,2009,judecător
Popoiag,Elena Carmen,F,95,2009,judecător
Popov,Valerica,F,96,2009,judecător
Preda,Joiţa,F,97,2009,judecător
Prodan,Marioara,F,98,2009,judecător
Puşoiu,Iuliana,F,99,2009,judecător
Râciu,Iuliana,F,101,2009,judecător
Rădulescu,Veronica,F,100,2009,judecător
Savin,Ana Alexandrina,F,102,2009,judecător
Sîrbu,Carmen,F,103,2009,judecător
Spineanu Matei,Octavia,F,104,2009,judecător
Stanciu,Livia Doina,F,105,2009,judecător
Stecoza,Gabriela,F,106,2009,judecător
Ştefănescu,Mariana Brânduşa,F,108,2009,judecător
Surdescu,Ioana,F,107,2009,judecător
Tabârcă,Mihaela,F,110,2009,judecător
Tarcea,Cristina Iulia,F,109,2009,judecător
Teau,Carmen Trănica,F,111,2009,judecător
Teodorescu,Georgeta,F,112,2009,judecător
Teodorescu,Margareta,F,113,2009,judecător
Teodorovici,Niculai,M,114,2009,judecător
Toacă,Dorica,F,115,2009,judecător
Toader,Camelia,F,116,2009,judecător
Ţuca,Alina Iuliana,F,117,2009,judecător
Vartires,Dana Iarina,F,118,2009,judecător
Vasile,Alixandri,M,119,2009,judecător
Viciu,Anca,F,120,2009,judecător
Vişan,Liliana,F,121,2009,judecător
Vrânceanu,Romaniţa Ecaterina,F,122,2009,judecător
Zglimbea,Luminiţa,F,123,2009,judecător
Popa,Nicolae,M,1,2009,preşedinte
Costiniu,Florin,M,3,2009,preşedinte secţia civiliă şi proprietate intelectuală
Lohan,Eugenia,F,4,2009,preşedinte secţia comercială
Bîrsan,Gabriela Victoria,F,5,2009,preşedinte secţia contencios administrativ şi fiscal
Bărbulescu,Lidia,F,2,2009,vicepreşedinte
Albu,Emanuel,M,6,2010,judecător
Alexandru,Niculina,F,125,2010,judecător
Arghir ,Christina Geanina,F,8,2010,judecător
Aron,Mircea,M,9,2010,judecător
Barbă,Ionel,M,126,2010,judecător
Barbălată,Georgeta,F,10,2010,judecător
Bărcănescu ,Dragoş,M,12,2010,judecător
Belu-Magdo,Mona Lisa,F,13,2010,judecător
Bogasiu,Gabriela Elena,F,14,2010,judecător
Bordea,Adrian,M,15,2010,judecător
Brânzan,Contantin,M,17,2010,judecător
Brehar,Paulina Licua,F,127,2010,judecător
Budă,Marian,M,18,2010,judecător
Buta,Cristina Mădălina,F,19,2010,judecător
Canţăr ,Elena,F,21,2010,judecător
Cârcei,Elena,F,23,2010,judecător
Chioseaua,Adriana,F,24,2010,judecător
Cîrstocea,Mariana,F,25,2010,judecător
Constanda,Andreia Liana,F,29,2010,judecător
Cornoiu,Dănuţ,M,30,2010,judecător
Cosma,Rodica,F,31,2010,judecător
Cosma,Rodica,F,128,2010,judecător
Costiniu,Florin,M,3,2010,judecător
Dascălu,Ana Maria,F,33,2010,judecător
David,Maria,F,34,2010,judecător
Deneş,Adriana Viorica,F,35,2010,judecător
Dragne,Angela,F,36,2010,judecător
Dragomir,Ilie Iulian,M,37,2010,judecător
Dragu,Creţu,M,39,2010,judecător
Duican,Doina,F,130,2010,judecător
Dumitraşcu,Sofica,F,131,2010,judecător
Ezer,Emilia,F,42,2010,judecător
Floarea,Gheorghe,M,44,2010,judecător
Frumuşelu,Magdalena-Carmen,F,45,2010,judecător
Gherasim,Traian,M,49,2010,judecător
Ghiciu,Paşcu,M,51,2010,judecător
Griga,Ioan,M,54,2010,judecător
Grigoraş,Nina Ecaterina,F,55,2010,judecător
Iacob,Ioana,F,56,2010,judecător
Ianoşi,Carmen Minodora,F,57,2010,judecător
Ilie,Maria Carmen,F,58,2010,judecător
Ioaniţiu,Elisabeta,F,59,2010,judecător
Ionescu,Gabriel,M,60,2010,judecător
Isailă,Mărioara,F,63,2010,judecător
Jidovu,Nicu,M,64,2010,judecător
Jîjîie,Corina,F,65,2010,judecător
Jipa,Cristian,M,132,2010,judecător
Lungeanu,Viorica,F,67,2010,judecător
Luţac,Gheorghiţa,F,69,2010,judecător
Luzescu,Cristina,F,70,2010,judecător
Macavei,Săndel Lucian,M,133,2010,judecător
Măniguţiu,Nicolae,M,76,2010,judecător
Marcu ,Simona Camelia,F,71,2010,judecător
Marin,Eugenia,F,72,2010,judecător
Marta,Elena Daniela,F,73,2010,judecător
Matei,Ionuţ Mihai,M,75,2010,judecător
Mihai,Maria Despina,F,77,2010,judecător
Moglan,Raluca,F,78,2010,judecător
Motea,Aurelia,F,79,2010,judecător
Nebela,Silvia,F,80,2010,judecător
Negrilă,Georgeta Carmen,F,134,2010,judecător
Nestor,Beatrice Ioana,F,81,2010,judecător
Nicolae,Adina-Georgeta,F,82,2010,judecător
Olaru,Maura,F,83,2010,judecător
Pantea,Paula,F,85,2010,judecător
Pasăre,Diana Iuliana,F,135,2010,judecător
Paşca Cameniţă,Victor Vincenţiu,M,86,2010,judecător
Pascu,Sorin,M,136,2010,judecător
Păun,Luiza Maria,F,137,2010,judecător
Petrişor,Nela,F,87,2010,judecător
Pistol,Ştefan,M,88,2010,judecător
Popa,Roxana,F,138,2010,judecător
Popescu,Doina,F,91,2010,judecător
Popescu,Iuliana,F,92,2010,judecător
Popescu,Veronica Carmen,F,93,2010,judecător
Popescu ,Zenovia Mariana,F,94,2010,judecător
Popoiag,Elena Carmen,F,95,2010,judecător
Preda,Joiţa,F,97,2010,judecător
Puşcaşiu,Eugenia,F,139,2010,judecător
Puşoiu,Iuliana,F,99,2010,judecător
Râciu,Iuliana,F,101,2010,judecător
Rădulescu,Veronica,F,100,2010,judecător
Sîrbu,Carmen,F,103,2010,judecător
Spineanu Matei,Octavia,F,104,2010,judecător
Stamatescu,Elena Adriana,F,140,2010,judecător
Stanciu,Livia Doina,F,105,2010,judecător
Ştefănescu,Mariana Brânduşa,F,108,2010,judecător
Susanu,Rodica,F,141,2010,judecător
Tabârcă,Mihaela,F,110,2010,judecător
Tarcea,Cristina Iulia,F,109,2010,judecător
Teau,Carmen Trănica,F,111,2010,judecător
Teodorescu,Georgeta,F,112,2010,judecător
Toacă,Dorica,F,115,2010,judecător
Toader,Camelia,F,116,2010,judecător
Trestianu ,Viorica,F,142,2010,judecător
Ţuca,Alina Iuliana,F,117,2010,judecător
Vartires,Dana Iarina,F,118,2010,judecător
Vasile,Alixandri,M,119,2010,judecător
Viciu,Anca,F,120,2010,judecător
Vişan,Liliana,F,121,2010,judecător
Voicu,Rodica Florica,F,143,2010,judecător
Vrânceanu,Romaniţa Ecaterina,F,122,2010,judecător
Zglimbea,Luminiţa,F,123,2010,judecător
Bărbulescu,Lidia,F,2,2010,preşedinte
Curelea,Lavinia,F,32,2010,preşedinte cu delegaţie secţia civilă şi proprietate intelectuală
Buta,Gheorghe,M,20,2010,preşedinte secţia comercială
Bîrsan,Gabriela Victoria,F,5,2010,preşedinte secţia contencios administrativ si fiscal
Pandrea,Anton,M,84,2010,preşedinte secţia penală
Popa,Rodica Aida,F,90,2010,vicepreşedinte
Albu,Emanuel,M,6,2011,judecător
Alexandru,Niculina,F,125,2011,judecător
Arghir ,Christina Geanina,F,8,2011,judecător
Aron,Mircea,M,9,2011,judecător
Barbă,Ionel,M,126,2011,judecător
Barbălată,Georgeta,F,10,2011,judecător
Bărbulescu,Voica Ioana,F,11,2011,judecător
Belu-Magdo,Mona Lisa,F,13,2011,judecător
Bogasiu,Gabriela Elena,F,14,2011,judecător
Bogdan,Ioana,F,144,2011,judecător
Brânzan,Contantin,M,17,2011,judecător
Brehar,Paulina Licua,F,127,2011,judecător
Budă,Marian,M,18,2011,judecător
Buta,Cristina Mădălina,F,19,2011,judecător
Canţăr ,Elena,F,21,2011,judecător
Cârcei,Elena,F,23,2011,judecător
Chioseaua,Adriana,F,24,2011,judecător
Cîrnu,Iulia Manuela,F,145,2011,judecător
Cîrstocea,Mariana,F,25,2011,judecător
Ciucă,Gilica,F,28,2011,judecător
Condoiu,Minodora,F,146,2011,judecător
Constanda,Andreia Liana,F,29,2011,judecător
Corbu,Corina Alina,F,147,2011,judecător
Cornoiu,Dănuţ,M,30,2011,judecător
Cornoiu Jităraşu,Victor,M,148,2011,judecător
Cosma,Rodica,F,31,2011,judecător
Cosma,Viorica,F,149,2011,judecător
Costiniu,Florin,M,3,2011,judecător
Dascălu,Ana Maria,F,33,2011,judecător
David,Maria,F,34,2011,judecător
Deneş,Adriana Viorica,F,35,2011,judecător
Dolache,Ileana Izabela,F,150,2011,judecător
Dragne,Angela,F,36,2011,judecător
Dragomir,Ilie Iulian,M,37,2011,judecător
Dragomir,Florentina,F,151,2011,judecător
Dragu,Creţu,M,39,2011,judecător
Duican,Doina,F,130,2011,judecător
Dumitraşcu,Sofica,F,131,2011,judecător
Ezer,Emilia,F,42,2011,judecător
Floarea,Elena,F,43,2011,judecător
Floarea,Gheorghe,M,44,2011,judecător
Frumuşelu,Magdalena-Carmen,F,45,2011,judecător
Ghena ,Mariana,F,153,2011,judecător
Gherasim,Traian,M,49,2011,judecător
Griga,Ioan,M,54,2011,judecător
Grigoraş,Nina Ecaterina,F,55,2011,judecător
Iacob,Ioana,F,56,2011,judecător
Iancu,Ana Hermina,F,154,2011,judecător
Ianoşi,Carmen Minodora,F,57,2011,judecător
Ilie,Maria Carmen,F,58,2011,judecător
Iordache,Magdalena,F,155,2011,judecător
Isailă,Mărioara,F,63,2011,judecător
Jidovu,Nicu,M,64,2011,judecător
Lungeanu,Viorica,F,67,2011,judecător
Luţac,Gheorghiţa,F,69,2011,judecător
Luzescu,Cristina,F,70,2011,judecător
Macavei,Săndel Lucian,M,133,2011,judecător
Macavei,Sorinela Alina,F,156,2011,judecător
Măniguţiu,Nicolae,M,76,2011,judecător
Marcu ,Simona Camelia,F,71,2011,judecător
Marin,Eugenia,F,72,2011,judecător
Marta,Elena Daniela,F,73,2011,judecător
Matei,Ionuţ Mihai,M,75,2011,judecător
Moglan,Raluca,F,78,2011,judecător
Motea,Aurelia,F,79,2011,judecător
Năstase,Tatiana Gabriela,F,157,2011,judecător
Nebela,Silvia,F,80,2011,judecător
Negrilă,Georgeta Carmen,F,134,2011,judecător
Neniţă,Simona Cristina,F,158,2011,judecător
Nestor,Beatrice Ioana,F,81,2011,judecător
Nicolae,Adina-Georgeta,F,82,2011,judecător
Olaru,Maura,F,83,2011,judecător
Pantea,Paula,F,85,2011,judecător
Pasăre,Diana Iuliana,F,135,2011,judecător
Paşca Cameniţă,Victor Vincenţiu,M,86,2011,judecător
Pascu,Sorin,M,136,2011,judecător
Păun,Luiza Maria,F,137,2011,judecător
Petrişor,Nela,F,87,2011,judecător
Pistol,Ştefan,M,88,2011,judecător
Pivniceru,Mona Maria,F,159,2011,judecător
Poliţeanu,Mirela,F,160,2011,judecător
Popa,Roxana,F,138,2011,judecător
Popescu,Doina,F,91,2011,judecător
Popescu,Iuliana,F,92,2011,judecător
Popescu,Veronica Carmen,F,93,2011,judecător
Popescu,Mirela Sorina,F,161,2011,judecător
Popescu ,Zenovia Mariana,F,94,2011,judecător
Popoiag,Elena Carmen,F,95,2011,judecător
Preda,Joiţa,F,97,2011,judecător
Preda Popescu,Florentina,F,162,2011,judecător
Puşcaşiu,Eugenia,F,139,2011,judecător
Puşoiu,Iuliana,F,99,2011,judecător
Râciu,Iuliana,F,101,2011,judecător
Rădulescu,Veronica,F,100,2011,judecător
Rotaru,Cristina,F,163,2011,judecător
Rusu,Aurelia,F,164,2011,judecător
Sîrbu,Carmen,F,103,2011,judecător
Spineanu Matei,Octavia,F,104,2011,judecător
Ştefănescu,Mariana Brânduşa,F,108,2011,judecător
Susanu,Rodica,F,141,2011,judecător
Tabârcă,Mihaela,F,110,2011,judecător
Ţăndărescu,Bianca Elena,F,165,2011,judecător
Tarcea,Cristina Iulia,F,109,2011,judecător
Teau,Carmen Trănica,F,111,2011,judecător
Teodorescu,Georgeta,F,112,2011,judecător
Toacă,Dorica,F,115,2011,judecător
Toader,Camelia,F,116,2011,judecător
Trestianu ,Viorica,F,142,2011,judecător
Ţuca,Alina Iuliana,F,117,2011,judecător
Vartires,Dana Iarina,F,118,2011,judecător
Vasile,Alixandri,M,119,2011,judecător
Vişan,Liliana,F,121,2011,judecător
Voicu,Rodica Florica,F,143,2011,judecător
Vrânceanu,Romaniţa Ecaterina,F,122,2011,judecător
Zglimbea,Luminiţa,F,123,2011,judecător
Draguţ,Florentin Sorin,M,152,2011,nu spune
Stanciu,Livia Doina,F,105,2011,preşedinte
Curelea,Lavinia,F,32,2011,preşedinte secţia civila şi propietate intelectuala
Bordea,Adrian,M,15,2011,Preşedinte secţia comercială
Bîrsan,Gabriela Victoria,F,5,2011,preşedinte secţia contencios administrativ şi fiscal
Jîjîie,Corina,F,65,2011,preşedinte secţia penală
Popa,Rodica Aida,F,90,2011,vicepreşedinte
Albu,Emanuel,M,6,2012,judecător
Arghir ,Christina Geanina,F,8,2012,judecător
Aron,Mircea,M,9,2012,judecător
Barbălată,Georgeta,F,10,2012,judecător
Belu-Magdo,Mona Lisa,F,13,2012,judecător
Bîrsan,Gabriela Victoria,F,5,2012,judecător
Bogasiu,Gabriela Elena,F,14,2012,judecător
Bogdan,Ioana,F,144,2012,judecător
Brehar,Paulina Licua,F,127,2012,judecător
Budă,Marian,M,18,2012,judecător
Buta,Cristina Mădălina,F,19,2012,judecător
Canţăr ,Elena,F,21,2012,judecător
Cârcei,Elena,F,23,2012,judecător
Chioseaua,Adriana,F,24,2012,judecător
Cîrnu,Iulia Manuela,F,145,2012,judecător
Cîrstocea,Mariana,F,25,2012,judecător
Cobzariu,Maricela,F,167,2012,judecător
Condoiu,Minodora,F,146,2012,judecător
Constanda,Andreia Liana,F,29,2012,judecător
Corbu,Corina Alina,F,147,2012,judecător
Cornoiu,Dănuţ,M,30,2012,judecător
Cornoiu Jităraşu,Victor,M,148,2012,judecător
Cosma,Rodica,F,128,2012,judecător
Cosma,Viorica,F,149,2012,judecător
Costiniu,Florin,M,3,2012,judecător
Dascălu,Ana Maria,F,33,2012,judecător
David,Maria,F,34,2012,judecător
Deneş,Adriana Viorica,F,35,2012,judecător
Dolache,Ileana Izabela,F,150,2012,judecător
Dragomir,Ilie Iulian,M,37,2012,judecător
Dragomir,Florentina,F,151,2012,judecător
Dragu,Creţu,M,39,2012,judecător
Duican,Doina,F,130,2012,judecător
Dumitraşcu,Sofica,F,131,2012,judecător
Ezer,Emilia,F,42,2012,judecător
Floarea,Elena,F,43,2012,judecător
Frumuşelu,Magdalena-Carmen,F,45,2012,judecător
Ghena ,Mariana,F,153,2012,judecător
Gherasim,Traian,M,49,2012,judecător
Griga,Ioan,M,54,2012,judecător
Grigoraş,Nina Ecaterina,F,55,2012,judecător
Iacob,Ioana,F,56,2012,judecător
Ianoşi,Carmen Minodora,F,57,2012,judecător
Ilie,Maria Carmen,F,58,2012,judecător
Ilie ,Ioana Alina,F,176,2012,judecător
Iordache,Magdalena,F,155,2012,judecător
Isailă,Mărioara,F,63,2012,judecător
Jidovu,Nicu,M,64,2012,judecător
Lefterache,Lavinia Valeria,F,179,2012,judecător
Lungeanu,Viorica,F,67,2012,judecător
Luţac,Gheorghiţa,F,69,2012,judecător
Luzescu,Cristina,F,70,2012,judecător
Macavei,Săndel Lucian,M,133,2012,judecător
Macavei,Sorinela Alina,F,156,2012,judecător
Măniguţiu,Nicolae,M,76,2012,judecător
Marcu ,Simona Camelia,F,71,2012,judecător
Marin,Eugenia,F,72,2012,judecător
Matei,Ionuţ Mihai,M,75,2012,judecător
Moglan,Raluca,F,78,2012,judecător
Motea,Aurelia,F,79,2012,judecător
Năstase,Tatiana Gabriela,F,157,2012,judecător
Nebela,Silvia,F,80,2012,judecător
Negrilă,Georgeta Carmen,F,134,2012,judecător
Neniţă,Simona Cristina,F,158,2012,judecător
Nestor,Beatrice Ioana,F,81,2012,judecător
Nicolae,Adina-Georgeta,F,82,2012,judecător
Pantea,Paula,F,85,2012,judecător
Paraschiv,Mihaela,F,183,2012,judecător
Pasăre,Diana Iuliana,F,135,2012,judecător
Paşca Cameniţă,Victor Vincenţiu,M,86,2012,judecător
Pascu,Sorin,M,136,2012,judecător
Păun,Luiza Maria,F,137,2012,judecător
Petrişor,Nela,F,87,2012,judecător
Pistol,Ştefan,M,88,2012,judecător
Pivniceru,Mona Maria,F,159,2012,judecător
Popa,Roxana,F,138,2012,judecător
Popescu,Doina,F,91,2012,judecător
Popescu,Mirela Sorina,F,161,2012,judecător
Popescu ,Zenovia Mariana,F,94,2012,judecător
Popoiag,Elena Carmen,F,95,2012,judecător
Preda,Joiţa,F,97,2012,judecător
Preda Popescu,Florentina,F,162,2012,judecător
Puşcaşiu,Eugenia,F,139,2012,judecător
Râciu,Iuliana,F,101,2012,judecător
Rog,Lucia Tatiana,F,185,2012,judecător
Rotaru,Cristina,F,163,2012,judecător
Rusu,Aurelia,F,164,2012,judecător
Cismasiu,Leontina,F,188,2012,judecător
Sîrbu,Carmen,F,103,2012,judecător
Spineanu Matei,Octavia,F,104,2012,judecător
Ştefănescu,Mariana Brânduşa,F,108,2012,judecător
Susanu,Rodica,F,141,2012,judecător
Tabârcă,Mihaela,F,110,2012,judecător
Ţăndărescu,Bianca Elena,F,165,2012,judecător
Tarcea,Cristina Iulia,F,109,2012,judecător
Teau,Carmen Trănica,F,111,2012,judecător
Teodorescu,Georgeta,F,112,2012,judecător
Toacă,Dorica,F,115,2012,judecător
Toader,Camelia,F,116,2012,judecător
Vartires,Dana Iarina,F,118,2012,judecător
Vasile,Francisca,F,198,2012,judecător
Voicu,Rodica Florica,F,143,2012,judecător
Vrânceanu,Romaniţa Ecaterina,F,122,2012,judecător
Zglimbea,Luminiţa,F,123,2012,judecător
Draguţ,Florentin Sorin,M,152,2012,nu spune
Stanciu,Livia Doina,F,105,2012,preşedinte
Curelea,Lavinia,F,32,2012,preşedinte secţia civile şi proprietate intelectuală
Bordea,Adrian,M,15,2012,preşedinte secţia comercială
Barbă,Ionel,M,126,2012,preşedinte secţia contencios administrativ si fiscal
Jîjîie,Corina,F,65,2012,preşedinte secţia penală
Popa,Rodica Aida,F,90,2012,vicepreşedinte
Bîrsan,Gabriela Victoria,F,5,2013,judecător
Albu,Emanuel,M,6,2013,judecător
Arghir ,Christina Geanina,F,8,2013,judecător
Aron,Mircea,M,9,2013,judecător
Barbălată,Georgeta,F,10,2013,judecător
Bogasiu,Gabriela Elena,F,14,2013,judecător
Bordea,Adrian,M,15,2013,judecător
Brânzan,Contantin,M,17,2013,judecător
Budă,Marian,M,18,2013,judecător
Canţăr ,Elena,F,21,2013,judecător
Cârcei,Elena,F,23,2013,judecător
Chioseaua,Adriana,F,24,2013,judecător
Cîrstocea,Mariana,F,25,2013,judecător
Constanda,Andreia Liana,F,29,2013,judecător
Cornoiu,Dănuţ,M,30,2013,judecător
Dascălu,Ana Maria,F,33,2013,judecător
David,Maria,F,34,2013,judecător
Dragne,Angela,F,36,2013,judecător
Dragomir,Ilie Iulian,M,37,2013,judecător
Dragu,Creţu,M,39,2013,judecător
Floarea,Elena,F,43,2013,judecător
Frumuşelu,Magdalena-Carmen,F,45,2013,judecător
Grigoraş,Nina Ecaterina,F,55,2013,judecător
Ianoşi,Carmen Minodora,F,57,2013,judecător
Ilie,Maria Carmen,F,58,2013,judecător
Isailă,Mărioara,F,63,2013,judecător
Lungeanu,Viorica,F,67,2013,judecător
Luţac,Gheorghiţa,F,69,2013,judecător
Luzescu,Cristina,F,70,2013,judecător
Marcu ,Simona Camelia,F,71,2013,judecător
Marin,Eugenia,F,72,2013,judecător
Matei,Ionuţ Mihai,M,75,2013,judecător
Măniguţiu,Nicolae,M,76,2013,judecător
Moglan,Raluca,F,78,2013,judecător
Motea,Aurelia,F,79,2013,judecător
Nestor,Beatrice Ioana,F,81,2013,judecător
Nicolae,Adina-Georgeta,F,82,2013,judecător
Pantea,Paula,F,85,2013,judecător
Petrişor,Nela,F,87,2013,judecător
Pistol,Ştefan,M,88,2013,judecător
Popa,Rodica Aida,F,90,2013,judecător
Popescu,Doina,F,91,2013,judecător
Popoiag,Elena Carmen,F,95,2013,judecător
Râciu,Iuliana,F,101,2013,judecător
Sîrbu,Carmen,F,103,2013,judecător
Spineanu Matei,Octavia,F,104,2013,judecător
Tabârcă,Mihaela,F,110,2013,judecător
Teau,Carmen Trănica,F,111,2013,judecător
Ţuca,Alina Iuliana,F,117,2013,judecător
Vartires,Dana Iarina,F,118,2013,judecător
Vişan,Liliana,F,121,2013,judecător
Vrânceanu,Romaniţa Ecaterina,F,122,2013,judecător
Zglimbea,Luminiţa,F,123,2013,judecător
Brehar,Paulina Licua,F,127,2013,judecător
Cosma,Rodica,F,128,2013,judecător
Duican,Doina,F,130,2013,judecător
Dumitraşcu,Sofica,F,131,2013,judecător
Jipa,Cristian,M,132,2013,judecător
Macavei,Săndel Lucian,M,133,2013,judecător
Negrilă,Georgeta Carmen,F,134,2013,judecător
Păun,Luiza Maria,F,137,2013,judecător
Puşcaşiu,Eugenia,F,139,2013,judecător
Susanu,Rodica,F,141,2013,judecător
Trestianu ,Viorica,F,142,2013,judecător
Bogdan,Ioana,F,144,2013,judecător
Cîrnu,Iulia Manuela,F,145,2013,judecător
Condoiu,Minodora,F,146,2013,judecător
Corbu,Corina Alina,F,147,2013,judecător
Cosma,Viorica,F,149,2013,judecător
Dolache,Ileana Izabela,F,150,2013,judecător
Dragomir,Florentina,F,151,2013,judecător
Draguţ,Florentin Sorin,M,152,2013,judecător
Ghena ,Mariana,F,153,2013,judecător
Iordache,Magdalena,F,155,2013,judecător
Macavei,Sorinela Alina,F,156,2013,judecător
Năstase,Tatiana Gabriela,F,157,2013,judecător
Neniţă,Simona Cristina,F,158,2013,judecător
Poliţeanu,Mirela,F,160,2013,judecător
Popescu,Mirela Sorina,F,161,2013,judecător
Rotaru,Cristina,F,163,2013,judecător
Rusu,Aurelia,F,164,2013,judecător
Ţăndărescu,Bianca Elena,F,165,2013,judecător
Cerbu,Silvia,F,166,2013,judecător
Cobzariu,Maricela,F,167,2013,judecător
Cristescu,Simona ,F,168,2013,judecător
Dascălu,Lavinia,F,169,2013,judecător
Dănăilă,Veronica Magdalena,F,170,2013,judecător
Dorin,Rodica,F,171,2013,judecător
Duţă,Ruxandra Monica,F,172,2013,judecător
Encean,Simona Daniela,F,173,2013,judecător
Foitoş,Marius Dan,M,174,2013,judecător
Hîncu,Cezar,M,175,2013,judecător
Ilie ,Ioana Alina,F,176,2013,judecător
Ion,Eugenia,F,177,2013,judecător
Ivanovici,Laura Mihaela,F,178,2013,judecător
Lefterache,Lavinia Valeria,F,179,2013,judecător
Mera,Luciana,F,180,2013,judecător
Mihăianu,Cosmin Horia,M,181,2013,judecător
Milăşan,Zoiţa,F,182,2013,judecător
Paraschiv,Mihaela,F,183,2013,judecător
Pietreanu,Simona Gina,F,184,2013,judecător
Rog,Lucia Tatiana,F,185,2013,judecător
Stanişor,Denisa Angelica,F,186,2013,judecător
Şelaru,Valentin Horia,M,187,2013,judecător
Şerban (Cismasiu),Leontina,F,188,2013,judecător
Văleanu,Petronela Cristina,F,189,2013,judecător
Vişan,Mirela,F,190,2013,judecător
Voicheci,Eugenia,F,191,2013,judecător
Zaharia,Rodica,F,192,2013,judecător
Vasile,Francisca,F,198,2013,judecător
Stanciu,Livia Doina,F,105,2013,preşedinte
Popa,Roxana,F,138,2013,preşedinte cu delegaţie secţia 2 civilă
Curelea,Lavinia,F,32,2013,preşedinte secţia 1 civila
Barbă,Ionel,M,126,2013,preşedinte secţia contencios administrativ şi fiscal
Jîjîie,Corina,F,65,2013,preşedinte secţia penală
Tarcea,Cristina Iulia,F,109,2013,vicepreşedinte
Albu,Emanuel,M,6,2014,judecător
Alexandrescu,Anca Mădălina,F,193,2014,judecător
Arghir ,Christina Geanina,F,8,2014,judecător
Aron,Mircea,M,9,2014,judecător
Barbălată,Georgeta,F,10,2014,judecător
Bîrsan,Gabriela Victoria,F,5,2014,judecător
Bogasiu,Gabriela Elena,F,14,2014,judecător
Bogdan,Ioana,F,144,2014,judecător
Bordea,Adrian,M,15,2014,judecător
Bratu,Camelia,F,16,2014,judecător
Brehar,Paulina Licua,F,127,2014,judecător
Budă,Marian,M,18,2014,judecător
Canţăr ,Elena,F,21,2014,judecător
Cârcei,Elena,F,23,2014,judecător
Cerbu,Silvia,F,166,2014,judecător
Chioseaua,Adriana,F,24,2014,judecător
Cîrnu,Iulia Manuela,F,145,2014,judecător
